Id,cc_num,trans_date,unix_time,amt,merch_lat,merch_long,is_fraud
1021,5157436163845247,201201110000000530,1326324156,158,35.293151,-119.09124299999999,0
148,370763211656868,201201020000000530,1325524105,45,41.866139000000004,-87.60848100000001,0
6672,6011779269963768,201606120000000530,1465721069,235,36.680126,-89.764651,0
11523,5157595343543285,201612020000000530,1480656774,128,27.431764,-98.839515,0
3498,675985166411,201601310000000530,1454277369,84,44.766077,-75.144717,0
7035,4641003399120410,201606250000000530,1466857508,80,42.160578,-92.16936899999999,0
4543,5157595343543285,201603200000000530,1458512567,139,27.415388,-98.838263,0
8905,4361646620879135,201608220000000530,1471887273,93,41.667015,-74.655939,0
143,4037295225657274,201201020000000530,1325515394,341,40.085865000000005,-102.37499,0
7765,4170242670039985,201607160000000530,1468710296,70,45.948168,-106.62528300000001,0
11000,675985166411,201611130000000530,1479018856,196,44.758289000000005,-75.151983,0
8778,675985166411,201608180000000530,1471555616,106,44.777076,-75.157945,0
5556,4483018920250,201605010000000530,1462141769,43,36.958706,-108.18818,0
5358,4641003399120410,201604230000000530,1461442804,93,42.172071,-92.177375,0
4759,675985166411,201603290000000530,1459272457,36,44.76115,-75.157252,0
2526,6011537727192499,201201280000000530,1327744334,344,39.273364,-94.885123,0
3607,675985166411,201602080000000530,1454892212,209,44.784359,-75.154803,0
7084,5157595343543285,201606260000000530,1466931483,120,27.419078000000003,-98.82379399999999,0
299,370763211656868,201201040000000530,1325693373,91,41.895971,-87.605492,0
11496,4641003399120410,201612010000000530,1480613038,65,42.172339,-92.153609,0
3082,675985166411,201601100000000530,1452414387,87,44.774879,-75.155603,0
11363,675985166411,201611260000000530,1480194280,60,44.760559,-75.15804399999999,0
4769,4170242670039985,201603300000000530,1459304647,144,45.94275,-106.63202,0
9292,4170242670039985,201609060000000530,1473136802,215,45.928546000000004,-106.63617099999999,0
6987,4641003399120410,201606230000000530,1466684515,50,42.168777,-92.164024,0
4203,4641003399120410,201603080000000530,1457466924,178,42.165326,-92.159329,0
6194,4641003399120410,201605280000000530,1464406368,57,42.170489,-92.152124,0
3261,5157595343543285,201601200000000530,1453301509,63,27.429565999999998,-98.851286,0
9830,4641003399120410,201609270000000530,1474985776,209,42.144436,-92.158989,0
1262,5157436163845247,201201140000000530,1326546405,264,35.325922999999996,-119.09393,0
5749,4641003399120410,201605100000000530,1462860576,200,42.167736,-92.15581800000001,0
830,180036251237802,201201090000000530,1326068226,476,38.084171000000005,-83.654078,0
10045,5157595343543285,201610060000000530,1475754825,92,27.430339,-98.83880699999999,0
9288,4641003399120410,201609050000000530,1473118078,190,42.169681,-92.173701,0
2861,5421885738881170,201202010000000530,1328103491,67,40.192808,-83.006727,0
10940,6011779269963768,201611110000000530,1478836767,121,36.673693,-89.755946,0
11077,675985166411,201611150000000530,1479245901,163,44.754932000000004,-75.128778,0
5537,6011779269963768,201605010000000530,1462105453,180,36.692645,-89.761962,0
6455,6011779269963768,201606050000000530,1465137605,88,36.678732000000004,-89.75423599999999,0
3267,4170242670039985,201601200000000530,1453316271,144,45.951119,-106.64017700000001,0
737,4006862159277,201201080000000530,1326017281,139,40.625571,-73.984112,0
2978,5157595343543285,201601050000000530,1451999402,249,27.427071999999995,-98.822407,0
8208,5157595343543285,201607300000000530,1469901735,152,27.430259000000003,-98.838359,0
3195,4641003399120410,201601160000000530,1452981752,58,42.147247,-92.16774699999999,0
6294,5157595343543285,201605310000000530,1464674338,143,27.416839000000003,-98.837514,0
8519,5157595343543285,201608100000000530,1470824787,117,27.417285999999997,-98.841755,0
2091,4515092388857440,201201220000000530,1327263469,57,41.559141,-83.071764,0
5444,675985166411,201604270000000530,1461763401,102,44.759344,-75.125293,0
9848,4641003399120410,201609280000000530,1475035486,193,42.159073,-92.149445,0
361,4765125568595799,201201050000000530,1325738052,67,38.638797,-78.264928,0
7557,4641003399120410,201607100000000530,1468147879,26,42.169553,-92.154372,0
5137,4170242670039985,201604140000000530,1460674755,74,45.921745,-106.642176,0
9431,5157595343543285,201609110000000530,1473604818,96,27.427201,-98.855365,0
5902,4641003399120410,201605160000000530,1463398570,191,42.163596999999996,-92.164231,0
7750,675985166411,201607160000000530,1468697117,76,44.770377,-75.15324100000001,0
7473,4170242670039985,201607080000000530,1468009961,126,45.920893,-106.632535,0
11415,6011779269963768,201611280000000530,1480353498,95,36.674493,-89.781814,0
7623,4170242670039985,201607120000000530,1468329790,73,45.948073,-106.637593,0
1405,3593533875650654,201201150000000530,1326644825,24,41.673415999999996,-88.365246,0
3786,5157595343543285,201602180000000530,1455803158,90,27.423119,-98.852889,0
8766,4641003399120410,201608180000000530,1471512577,95,42.159721999999995,-92.167614,0
9918,4483018920250,201610010000000530,1475305736,47,36.969969,-108.18106,0
11265,4641003399120410,201611220000000530,1479858358,52,42.152957,-92.18051899999999,0
6105,675985166411,201605240000000530,1464102461,111,44.772740999999996,-75.127574,0
5084,675985166411,201604120000000530,1460477580,229,44.769622999999996,-75.151663,0
4685,4641003399120410,201603260000000530,1459017430,54,42.173033000000004,-92.181083,0
4622,6011779269963768,201603240000000530,1458844886,42,36.672336,-89.763789,0
4210,6011779269963768,201603090000000530,1457488043,171,36.686678,-89.776521,0
8657,675985166411,201608140000000530,1471191218,66,44.769221,-75.133792,0
1417,3526015186182660,201201150000000530,1326660680,166,38.166894,-120.34248000000001,0
6103,6011779269963768,201605240000000530,1464101894,69,36.693231,-89.765978,0
2106,3526015186182660,201201220000000530,1327275876,63,38.188383,-120.377495,0
2924,4170242670039985,201601020000000530,1451743701,175,45.920746,-106.6288,0
2166,4361355512072,201201240000000530,1327379386,122,47.239554,-96.79213100000001,0
5374,4170242670039985,201604240000000530,1461503881,76,45.924064,-106.624626,0
11027,675985166411,201611130000000530,1479070621,165,44.755784999999996,-75.135148,0
2283,3593533875650654,201201250000000530,1327515099,29,41.694703999999994,-88.35920300000001,0
9891,4361646620879135,201609300000000530,1475196535,63,41.680671999999994,-74.671318,0
1695,6011165671471311,201201190000000530,1326965527,74,37.799974,-122.42141299999999,0
3894,4483018920250,201602230000000530,1456242062,88,36.973960999999996,-108.183793,0
10688,4641003399120410,201610310000000530,1477903461,153,42.169383,-92.167929,0
6065,4483018920250,201605220000000530,1463948384,179,36.960969,-108.189959,0
5729,675985166411,201605080000000530,1462739331,211,44.764224,-75.151493,0
9765,4361646620879135,201609240000000530,1474752592,143,41.699104,-74.686612,0
3656,4641003399120410,201602100000000530,1455146208,108,42.148744,-92.171876,0
9516,6011779269963768,201609140000000530,1473886779,151,36.700012,-89.766543,0
11612,4483018920250,201612030000000530,1480795726,57,36.959891,-108.164001,0
4731,4170242670039985,201603280000000530,1459132683,48,45.937226,-106.647884,0
4960,6011779269963768,201604080000000530,1460077678,97,36.693447,-89.75783,0
